"Date","Open","High","Low","Close"
"31 Oct 2019","9686.40","9733.35","9671.30","9689.65"
"30 Oct 2019","9666.60","9673.70","9602.10","9647.55"
"29 Oct 2019","9490.10","9615.75","9475.50","9598.35"
"27 Oct 2019","9493.70","9504.05","9462.75","9478.35"
"25 Oct 2019","9478.45","9479.05","9365.55","9431.10"
"24 Oct 2019","9501.35","9516.65","9402.50","9437.65"
"23 Oct 2019","9457.25","9497.75","9418.25","9458.65"
"22 Oct 2019","9481.05","9526.80","9435.85","9448.25"
"18 Oct 2019","9391.85","9494.70","9373.50","9479.20"
17 Oct 2019","9286.65","9399.25","9268.05","9391.00"
"16 Oct 2019","9282.95","9301.75","9246.65","9281.85"
"15 Oct 2019","9208.70","9277.25","9196.85","9253.85"
"14 Oct 2019',"9187.70","9248.50","9156.90","9192.65"
'11 Oct 2019',"9132.40","9207.35","9076.30","9161.40"
"10 Oct 2019","9153.50","9165.05","9097.55","9112.75"
"09 Oct 2019","9059.10","9183.30","9008.85","9177.95"
"07 Oct 2019",9104.50,"9120.30","9031.60","9040.65"
"04 Oct 2019",9253.10,"9264.00","9078.80","9091.65"
"03 Oct 2019","9207.15",9243.80',"9153.70",'9198.40'
"01 Oct 2019","9372.70","9402.00","9140.05","9236.40"
"30 Sep 2019","9384.65","9389.55","9276.90","9340.90"
"27 Sep 2019","9435.55","9465.35","9388.50","9395.60"
"26 Sep 2019","9365.50","9471.25","9363.25","9443.80"
"25 Sep 2019","9458.05",9458.45,'9326.10','9344.15
"24 Sep 2019","9489.10",'9530.35',9434.65,"9474.75"
"19 Sep 2019","8884.50","8884.50","8738.65","8766.45"
18 Sep 2019,"8898.95","8912.20","8841.55","8877.70"
"17 Sep 2019",'9010.55',"9012.10",8838.25,"8853.90"
"16 Sep 2019","8992.15","9044.45","8978.95","9009.15"
"13 Sep 2019","8992.65","9056.80","8945.60","9050.85"
"12 Sep 2019",9036.95,"9061.00",8969.85,'8981.60
"11 Sep 2019","8992.70","9026.25","8981.10","9015.15"
"09 Sep 2019","8914.70","8986.60","8882.90","8972.40"
"06 Sep 2019""8873.75","8928.45","8859.25","8920.40"
"05 Sep 2019","8848.00","8894.90","8825.00","8846.30"
"04 Sep 2019","8798.75","8841.95","8751.25","8833.10"
"03 Sep 2019","8927.90","8931.65","8783.75","8802.35"